Date,Products,ISP,Production,Lifting,Sales_Gas,Production_Gas
2021-01-01,NGL,Incl. ISP,1211,1025,239,95
2021-01-02,NGL,Incl. ISP,1255,1269,423,93
2021-01-03,LPG,Incl. ISP,1343,1119,193,141
2021-01-04,LPG,Excl. ISP,1035,1074,446,94
2021-01-05,NGL,Excl. ISP,1342,1320,114,140
2021-01-06,LPG,Excl. ISP,1076,1077,128,137
2021-01-07,NGL,Incl. ISP,1108,1085,484,116
2021-01-08,LPG,Incl. ISP,939,1342,446,117
2021-01-09,NGL,Excl. ISP,1500,1111,459,91
2021-01-10,LPG,Incl. ISP,973,1414,545,141
2021-01-11,NGL,Excl. ISP,961,1414,116,93
2021-01-12,LPG,Incl. ISP,1054,1128,337,143
2021-01-13,NGL,Excl. ISP,1023,902,213,97
2021-01-14,NGL,Excl. ISP,1268,1379,436,142
2021-01-15,LPG,Incl. ISP,968,1175,369,145
2021-01-16,NGL,Excl. ISP,1144,1012,429,94
2021-01-17,NGL,Excl. ISP,1394,954,370,149
2021-01-18,LPG,Excl. ISP,1297,1209,230,110
2021-01-19,LPG,Incl. ISP,1007,1138,530,148
2021-01-20,LPG,Excl. ISP,1358,903,156,115
2021-01-21,NGL,Incl. ISP,1025,951,392,104
2021-01-22,LPG,Incl. ISP,1129,1170,548,92
2021-01-23,LPG,Excl. ISP,1276,1383,255,133
2021-01-24,NGL,Excl. ISP,1131,1197,317,92
2021-01-25,NGL,Incl. ISP,1087,1129,512,102
2021-01-26,LPG,Excl. ISP,1430,1037,200,136
2021-01-27,LPG,Excl. ISP,1204,1151,280,122
2021-01-28,NGL,Incl. ISP,1063,1000,248,111
2021-01-29,LPG,Excl. ISP,1307,1399,393,98
2021-01-30,NGL,Incl. ISP,1364,1322,180,95
2021-01-31,NGL,Incl. ISP,1191,1019,170,112
2021-02-01,NGL,Excl. ISP,1491,1059,514,97
2021-02-02,LPG,Incl. ISP,1065,1123,526,149
2021-02-03,NGL,Incl. ISP,1407,1208,143,136
2021-02-04,LPG,Incl. ISP,1360,908,383,135
2021-02-05,NGL,Incl. ISP,1485,1092,174,142
2021-02-06,LPG,Excl. ISP,1273,955,236,121
2021-02-07,NGL,Incl. ISP,1295,940,444,131
2021-02-08,NGL,Incl. ISP,1200,933,100,117
2021-02-09,LPG,Incl. ISP,1370,986,303,140
2021-02-10,NGL,Incl. ISP,901,1019,280,90
2021-02-11,LPG,Incl. ISP,986,1396,181,90
2021-02-12,NGL,Excl. ISP,1232,1141,542,113
2021-02-13,NGL,Excl. ISP,1461,1236,407,144
2021-02-14,NGL,Excl. ISP,1017,1454,280,148
2021-02-15,LPG,Excl. ISP,1500,974,324,104
2021-02-16,NGL,Excl. ISP,917,1498,113,90
2021-02-17,NGL,Incl. ISP,1268,1499,438,118
2021-02-18,LPG,Incl. ISP,1251,1255,270,134
2021-02-19,LPG,Incl. ISP,1346,1102,316,122
2021-02-20,LPG,Excl. ISP,1205,931,190,111
2021-02-21,NGL,Incl. ISP,1061,1084,382,143
2021-02-22,NGL,Excl. ISP,1177,1189,274,97
2021-02-23,LPG,Incl. ISP,1299,1133,261,99
2021-02-24,NGL,Excl. ISP,1113,1053,219,137
2021-02-25,LPG,Incl. ISP,1271,1220,463,136
2021-02-26,NGL,Excl. ISP,931,1490,183,116
2021-02-27,LPG,Incl. ISP,1206,1215,166,144
2021-02-28,NGL,Incl. ISP,940,1064,486,147
2021-03-01,LPG,Excl. ISP,1188,930,163,106
2021-03-02,NGL,Incl. ISP,944,1105,305,126
2021-03-03,NGL,Incl. ISP,953,1435,162,128
2021-03-04,LPG,Incl. ISP,1054,1047,335,96
2021-03-05,NGL,Incl. ISP,1306,1023,297,92
2021-03-06,NGL,Incl. ISP,1293,943,507,130
2021-03-07,LPG,Incl. ISP,1338,980,524,96
2021-03-08,NGL,Incl. ISP,915,1379,205,146
2021-03-09,LPG,Incl. ISP,1230,1095,347,140
2021-03-10,LPG,Excl. ISP,1135,1281,302,92
2021-03-11,LPG,Excl. ISP,963,918,470,144
2021-03-12,LPG,Excl. ISP,954,1377,293,90
2021-03-13,NGL,Excl. ISP,1389,999,448,122
2021-03-14,LPG,Excl. ISP,1079,1049,389,94
2021-03-15,NGL,Excl. ISP,1469,1060,188,113
2021-03-16,NGL,Incl. ISP,1025,1255,271,125
2021-03-17,LPG,Incl. ISP,1456,1246,288,130
2021-03-18,NGL,Excl. ISP,1442,1002,249,125
2021-03-19,LPG,Incl. ISP,1338,920,511,137
2021-03-20,LPG,Excl. ISP,1178,1281,476,108
2021-03-21,NGL,Incl. ISP,1239,1409,112,148
2021-03-22,LPG,Incl. ISP,1316,1469,200,93
2021-03-23,NGL,Excl. ISP,1089,1196,332,126
2021-03-24,LPG,Excl. ISP,1019,1012,258,123
2021-03-25,NGL,Incl. ISP,1327,1273,511,103
2021-03-26,LPG,Incl. ISP,1459,1201,458,92
2021-03-27,NGL,Incl. ISP,993,1068,472,110
2021-03-28,LPG,Excl. ISP,1445,1301,191,143
2021-03-29,NGL,Excl. ISP,1002,1422,545,133
2021-03-30,NGL,Excl. ISP,1483,1418,511,131
2021-03-31,NGL,Incl. ISP,1351,1054,248,92
2021-04-01,LPG,Incl. ISP,1027,1226,328,148
2021-04-02,NGL,Excl. ISP,1447,1059,386,134
2021-04-03,NGL,Incl. ISP,1400,1252,420,141
2021-04-04,NGL,Incl. ISP,1040,1413,502,101
2021-04-05,NGL,Incl. ISP,1427,1191,126,118
2021-04-06,LPG,Incl. ISP,1414,1468,147,95
2021-04-07,NGL,Excl. ISP,1073,1253,124,131
2021-04-08,LPG,Excl. ISP,986,1052,535,100
2021-04-09,LPG,Incl. ISP,1040,982,518,95
2021-04-10,LPG,Incl. ISP,1081,1498,413,145
2021-04-11,NGL,Excl. ISP,1351,964,136,150
2021-04-12,NGL,Excl. ISP,945,1376,489,147
2021-04-13,NGL,Incl. ISP,947,1429,212,93
2021-04-14,LPG,Excl. ISP,1117,1127,383,100
2021-04-15,LPG,Excl. ISP,1421,933,526,149
2021-04-16,LPG,Incl. ISP,1220,1460,441,102
2021-04-17,LPG,Excl. ISP,1362,921,420,116
2021-04-18,LPG,Incl. ISP,1448,1028,293,129
2021-04-19,NGL,Incl. ISP,1449,1330,362,90
2021-04-20,LPG,Excl. ISP,924,1171,318,125
2021-04-21,LPG,Excl. ISP,1218,1089,149,112
2021-04-22,LPG,Excl. ISP,948,1194,525,100
2021-04-23,NGL,Incl. ISP,1034,1276,492,123
2021-04-24,NGL,Excl. ISP,973,1309,297,92
2021-04-25,NGL,Incl. ISP,1399,1353,121,145
2021-04-26,LPG,Incl. ISP,1457,1294,316,134
2021-04-27,NGL,Excl. ISP,1386,1125,242,107
2021-04-28,NGL,Excl. ISP,1311,1038,346,105
2021-04-29,LPG,Incl. ISP,1033,915,507,103
2021-04-30,LPG,Excl. ISP,1467,1021,512,91
2021-05-01,NGL,Incl. ISP,1025,935,523,137
2021-05-02,LPG,Incl. ISP,1156,1357,476,120
2021-05-03,NGL,Excl. ISP,1261,1076,358,108
2021-05-04,LPG,Incl. ISP,1014,1405,519,140
2021-05-05,NGL,Incl. ISP,969,1352,463,113
2021-05-06,LPG,Incl. ISP,1123,1367,113,100
2021-05-07,NGL,Excl. ISP,1059,925,544,96
2021-05-08,LPG,Incl. ISP,1082,1421,520,143
2021-05-09,LPG,Incl. ISP,1283,1364,282,94
2021-05-10,NGL,Excl. ISP,1371,917,263,127
2021-05-11,NGL,Excl. ISP,1428,910,135,133
2021-05-12,NGL,Incl. ISP,1133,1401,255,121
2021-05-13,NGL,Incl. ISP,990,1162,121,92
2021-05-14,NGL,Incl. ISP,919,1389,177,106
2021-05-15,LPG,Excl. ISP,1073,1089,318,97
2021-05-16,LPG,Incl. ISP,1349,1070,427,145
2021-05-17,LPG,Incl. ISP,1334,1492,508,93
2021-05-18,LPG,Incl. ISP,1095,1171,412,142
2021-05-19,NGL,Incl. ISP,1246,1157,495,113
2021-05-20,NGL,Excl. ISP,1251,1395,159,96
2021-05-21,LPG,Excl. ISP,1439,1034,116,107
2021-05-22,NGL,Incl. ISP,1041,1077,360,103
2021-05-23,NGL,Incl. ISP,1426,1106,256,140
2021-05-24,LPG,Incl. ISP,1210,1328,356,124
2021-05-25,LPG,Excl. ISP,1015,1385,463,112
2021-05-26,NGL,Excl. ISP,1351,1365,476,148
2021-05-27,LPG,Excl. ISP,1303,932,218,140
2021-05-28,NGL,Excl. ISP,1313,1116,202,140
2021-05-29,NGL,Excl. ISP,1340,1208,319,106
2021-05-30,NGL,Incl. ISP,1431,907,235,111
2021-05-31,LPG,Incl. ISP,1148,1010,290,128
2021-06-01,NGL,Incl. ISP,1361,1039,459,123
2021-06-02,NGL,Excl. ISP,1111,1097,229,143
2021-06-03,NGL,Excl. ISP,1439,1360,267,114
2021-06-04,LPG,Incl. ISP,1145,1008,512,136
2021-06-05,NGL,Incl. ISP,1341,1238,419,97
2021-06-06,LPG,Incl. ISP,915,1036,310,120
2021-06-07,LPG,Incl. ISP,1330,1075,411,103
2021-06-08,NGL,Excl. ISP,1252,1467,433,144
2021-06-09,LPG,Excl. ISP,1189,1062,443,143
2021-06-10,NGL,Incl. ISP,922,1199,484,123
2021-06-11,NGL,Incl. ISP,1425,944,223,118
2021-06-12,NGL,Excl. ISP,1297,1279,269,97
2021-06-13,NGL,Excl. ISP,1271,1244,541,98
2021-06-14,LPG,Excl. ISP,1073,1368,476,123
2021-06-15,NGL,Excl. ISP,1218,902,374,125
2021-06-16,LPG,Incl. ISP,1050,1041,487,100
2021-06-17,NGL,Excl. ISP,1123,1316,396,103
2021-06-18,NGL,Excl. ISP,1052,1388,311,102
2021-06-19,LPG,Excl. ISP,1234,1343,268,102
2021-06-20,LPG,Excl. ISP,1401,1248,395,98
2021-06-21,LPG,Excl. ISP,900,1494,129,106
2021-06-22,LPG,Incl. ISP,956,1474,297,124
2021-06-23,LPG,Excl. ISP,1246,1147,251,142
2021-06-24,LPG,Excl. ISP,1250,1474,396,115
2021-06-25,NGL,Excl. ISP,1119,1340,241,94
2021-06-26,LPG,Excl. ISP,1177,971,151,125
2021-06-27,NGL,Excl. ISP,1323,1107,264,134
2021-06-28,LPG,Excl. ISP,1081,1102,419,132
2021-06-29,NGL,Excl. ISP,1208,920,338,121
