Sales_ID,Date,Outlets,Product,Quantity,Total,Target,Count_of_Products,Net Profit,Upsell
T0001,01-01-21,Outlet A,"['Keyboard', 'Notebook 3 Pro']","[243, 9]",224937,70000000,2,15295.716,1
T0002,02-01-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Monitor']","[61, 16, 196, 148]",172011,70000000,4,11696.748,1
T0003,03-01-21,Outlet A,"['Headphones', 'Notebook 3']","[73, 13]",20347,70000000,2,1383.596,1
T0004,04-01-21,Outlet A,"['Keyboard', 'Notebook 3', 'Mouse']","[86, 199, 143]",274411,70000000,3,18659.948,1
T0005,05-01-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Notebook 3']","[55, 233, 229]",305845,70000000,3,20797.46,1
T0006,06-01-21,Outlet A,"['Headphones', 'Mouse', 'Notebook 3']","[17, 5, 206]",121398,70000000,3,8255.064,1
T0007,07-01-21,Outlet A,"['Notebook 3', 'Monitor']","[124, 205]",124585,70000000,2,8471.78,0
T0008,08-01-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Notebook 3']","[138, 35, 18]",59982,70000000,3,4078.776,1
T0009,09-01-21,Outlet A,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[216, 189, 184]",310856,70000000,3,21138.208,1
T00010,10-01-21,Outlet B,"['Keyboard', 'Monitor']","[9, 221]",67540,70000000,2,4592.72,1
T00011,11-01-21,Outlet A,"['Headphones', 'Notebook 3', 'Monitor']","[61, 35, 95]",56074,70000000,3,3813.032,1
T00012,12-01-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Monitor']","[76, 49, 200, 230]",231525,70000000,4,15743.7,1
T00013,13-01-21,Outlet A,"['Keyboard', 'Notebook 3 Pro']","[201, 234]",349179,70000000,2,23744.172,1
T00014,14-01-21,Outlet A,"['Keyboard', 'Mouse']","[67, 247]",208186,70000000,2,14156.648,0
T00015,15-01-21,Outlet C,"['Keyboard', 'Notebook 3', 'Monitor']","[138, 199, 122]",268320,70000000,3,18245.76,1
T00016,16-01-21,Outlet A,"['Headphones', 'Mouse']","[94, 232]",155794,70000000,2,10593.992,0
T00017,17-01-21,Outlet C,"['Keyboard', 'Mouse', 'Notebook 3 Pro']","[26, 22, 63]",81912,70000000,3,5570.016,0
T00018,18-01-21,Outlet A,"['Headphones', 'Notebook 3 Pro']","[74, 108]",91006,70000000,2,6188.408,0
T00019,19-01-21,Outlet B,"['Mouse', 'Monitor', 'Notebook 3']","[33, 160, 191]",169767,70000000,3,11544.156,1
T00020,20-01-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor', 'Notebook 3 Pro']","[106, 91, 231, 100]",234922,70000000,4,15974.696,0
T00021,21-01-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Keyboard']","[218, 125, 20, 218]",336204,70000000,4,22861.872,1
T00022,22-01-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor']","[198, 228, 228]",301746,70000000,3,20518.728,0
T00023,23-01-21,Outlet C,"['Mouse', 'Notebook 3', 'Monitor', 'Notebook 3 Pro']","[181, 14, 144, 136]",252915,70000000,4,17198.22,1
T00024,24-01-21,Outlet B,"['Keyboard', 'Notebook 3', 'Monitor']","[180, 81, 68]",225472,70000000,3,15332.096,1
T00025,25-01-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[81, 125, 244, 239]",373266,70000000,4,25382.088,1
T00026,26-01-21,Outlet A,"['Keyboard', 'Notebook 3 Pro']","[13, 98]",82247,70000000,2,5592.796,1
T00027,27-01-21,Outlet C,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3']","[100, 97, 198]",270620,70000000,3,18402.16,0
T00028,28-01-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Monitor']","[23, 38, 52, 46]",79773,70000000,4,5424.564,1
T00029,29-01-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Keyboard']","[4, 11, 84]",84152,70000000,3,5722.336,1
T00030,30-01-21,Outlet B,"['Headphones', 'Notebook 3', 'Monitor']","[51, 14, 44]",28805,70000000,3,1958.74,0
T00031,31-01-21,Outlet C,"['Headphones', 'Mouse', 'Monitor']","[122, 121, 97]",120410,70000000,3,8187.88,1
T00032,01-02-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Notebook 3', 'Monitor']","[55, 221, 18, 106]",210573,70000000,4,14318.964,1
T00033,02-02-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse', 'Notebook 3']","[185, 144, 156, 18]",373519,70000000,4,25399.292,1
T00034,03-02-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse']","[165, 199, 226]",426989,70000000,3,29035.252,1
T00035,04-02-21,Outlet C,"['Notebook 3 Pro', 'Notebook 3', 'Mouse']","[46, 19, 45]",70715,70000000,3,4808.62,1
T00036,05-02-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[218, 173, 78]",241271,70000000,3,16406.428,1
T00037,06-02-21,Outlet C,"['Notebook 3', 'Monitor']","[111, 249]",129141,70000000,2,8781.588,1
T00038,07-02-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3 Pro']","[81, 162, 143]",263097,70000000,3,17890.596,0
T00039,08-02-21,Outlet A,"['Headphones', 'Mouse', 'Notebook 3', 'Keyboard']","[14, 139, 86, 221]",332606,70000000,4,22617.208,1
T00040,09-02-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse']","[205, 9, 234]",183341,70000000,3,12467.188,1
T00041,10-02-21,Outlet A,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[56, 29, 237]",120313,70000000,3,8181.284,0
T00042,11-02-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Keyboard', 'Monitor']","[54, 61, 182, 220]",276384,70000000,4,18794.112,1
T00043,12-02-21,Outlet C,"['Headphones', 'Notebook 3', 'Monitor']","[160, 52, 183]",106987,70000000,3,7275.116,1
T00044,13-02-21,Outlet C,"['Headphones', 'Mouse', 'Notebook 3']","[175, 6, 73]",75799,70000000,3,5154.332,1
T00045,14-02-21,Outlet A,"['Headphones', 'Notebook 3 Pro']","[116, 111]",100684,70000000,2,6846.512,1
T00046,15-02-21,Outlet B,"['Keyboard', 'Mouse', 'Notebook 3 Pro']","[212, 29, 190]",344759,70000000,3,23443.612,1
T00047,16-02-21,Outlet B,"['Headphones', 'Keyboard', 'Monitor']","[35, 143, 118]",166564,70000000,3,11326.352,1
T00048,17-02-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor', 'Notebook 3 Pro']","[158, 149, 241, 151]",404842,70000000,4,27529.256,1
T00049,18-02-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[217, 47, 123]",105770,70000000,3,7192.36,1
