Sales_ID,Date,Outlets,Product,Quantity,Price,Total,Target,Upsell,Count_of_Products,Net Profit
T0001,01-01-21,Outlet A,Keyboard,243,899,218457,70000000,1,2,14855.076
T0001,01-01-21,Outlet A,Notebook 3 Pro,9,720,6480,70000000,1,2,440.64
T0002,01-02-21,Outlet B,Headphones,61,179,10919,70000000,1,4,742.492
T0002,01-02-21,Outlet B,Notebook 3 Pro,16,720,11520,70000000,1,4,783.36
T0002,01-02-21,Outlet B,Notebook 3,196,560,109760,70000000,1,4,7463.68
T0002,01-02-21,Outlet B,Monitor,148,269,39812,70000000,1,4,2707.216
T0003,01-03-21,Outlet A,Headphones,73,179,13067,70000000,1,2,888.556
T0003,01-03-21,Outlet A,Notebook 3,13,560,7280,70000000,1,2,495.04
T0004,01-04-21,Outlet A,Keyboard,86,899,77314,70000000,1,3,5257.352
T0004,01-04-21,Outlet A,Notebook 3,199,560,111440,70000000,1,3,7577.92
T0004,01-04-21,Outlet A,Mouse,143,599,85657,70000000,1,3,5824.676
T0005,01-05-21,Outlet A,Headphones,55,179,9845,70000000,1,3,669.46
T0005,01-05-21,Outlet A,Notebook 3 Pro,233,720,167760,70000000,1,3,11407.68
T0005,01-05-21,Outlet A,Notebook 3,229,560,128240,70000000,1,3,8720.32
T0006,01-06-21,Outlet A,Headphones,17,179,3043,70000000,1,3,206.924
T0006,01-06-21,Outlet A,Mouse,5,599,2995,70000000,1,3,203.66
T0006,01-06-21,Outlet A,Notebook 3,206,560,115360,70000000,1,3,7844.48
T0007,01-07-21,Outlet A,Notebook 3,124,560,69440,70000000,0,2,4721.92
T0007,01-07-21,Outlet A,Monitor,205,269,55145,70000000,0,2,3749.86
T0008,01-08-21,Outlet A,Headphones,138,179,24702,70000000,1,3,1679.736
T0008,01-08-21,Outlet A,Notebook 3 Pro,35,720,25200,70000000,1,3,1713.6
T0008,01-08-21,Outlet A,Notebook 3,18,560,10080,70000000,1,3,685.44
T0009,01-09-21,Outlet A,Notebook 3 Pro,216,720,155520,70000000,1,3,10575.36
T0009,01-09-21,Outlet A,Notebook 3,189,560,105840,70000000,1,3,7197.12
T0009,01-09-21,Outlet A,Monitor,184,269,49496,70000000,1,3,3365.728
T00010,01-10-21,Outlet B,Keyboard,9,899,8091,70000000,1,2,550.188
T00010,01-10-21,Outlet B,Monitor,221,269,59449,70000000,1,2,4042.532
T00011,01-11-21,Outlet A,Headphones,61,179,10919,70000000,1,3,742.492
T00011,01-11-21,Outlet A,Notebook 3,35,560,19600,70000000,1,3,1332.8
T00011,01-11-21,Outlet A,Monitor,95,269,25555,70000000,1,3,1737.74
T00012,01-12-21,Outlet A,Headphones,76,179,13604,70000000,1,4,925.072
T00012,01-12-21,Outlet A,Keyboard,49,899,44051,70000000,1,4,2995.468
T00012,01-12-21,Outlet A,Notebook 3,200,560,112000,70000000,1,4,7616
T00012,01-12-21,Outlet A,Monitor,230,269,61870,70000000,1,4,4207.16
T00013,13-01-21,Outlet A,Keyboard,201,899,180699,70000000,1,2,12287.532
T00013,13-01-21,Outlet A,Notebook 3 Pro,234,720,168480,70000000,1,2,11456.64
T00014,14-01-21,Outlet A,Keyboard,67,899,60233,70000000,0,2,4095.844
T00014,14-01-21,Outlet A,Mouse,247,599,147953,70000000,0,2,10060.804
T00015,15-01-21,Outlet C,Keyboard,138,899,124062,70000000,1,3,8436.216
T00015,15-01-21,Outlet C,Notebook 3,199,560,111440,70000000,1,3,7577.92
T00015,15-01-21,Outlet C,Monitor,122,269,32818,70000000,1,3,2231.624
T00016,16-01-21,Outlet A,Headphones,94,179,16826,70000000,0,2,1144.168
T00016,16-01-21,Outlet A,Mouse,232,599,138968,70000000,0,2,9449.824
T00017,17-01-21,Outlet C,Keyboard,26,899,23374,70000000,0,3,1589.432
T00017,17-01-21,Outlet C,Mouse,22,599,13178,70000000,0,3,896.104
T00017,17-01-21,Outlet C,Notebook 3 Pro,63,720,45360,70000000,0,3,3084.48
T00018,18-01-21,Outlet A,Headphones,74,179,13246,70000000,0,2,900.728
T00018,18-01-21,Outlet A,Notebook 3 Pro,108,720,77760,70000000,0,2,5287.68
T00019,19-01-21,Outlet B,Mouse,33,599,19767,70000000,1,3,1344.156
T00019,19-01-21,Outlet B,Monitor,160,269,43040,70000000,1,3,2926.72
T00019,19-01-21,Outlet B,Notebook 3,191,560,106960,70000000,1,3,7273.28
T00020,20-01-21,Outlet A,Headphones,106,179,18974,70000000,0,4,1290.232
T00020,20-01-21,Outlet A,Keyboard,91,899,81809,70000000,0,4,5563.012
T00020,20-01-21,Outlet A,Monitor,231,269,62139,70000000,0,4,4225.452
T00020,20-01-21,Outlet A,Notebook 3 Pro,100,720,72000,70000000,0,4,4896
T00021,21-01-21,Outlet B,Headphones,218,179,39022,70000000,1,4,2653.496
T00021,21-01-21,Outlet B,Notebook 3 Pro,125,720,90000,70000000,1,4,6120
T00021,21-01-21,Outlet B,Notebook 3,20,560,11200,70000000,1,4,761.6
T00021,21-01-21,Outlet B,Keyboard,218,899,195982,70000000,1,4,13326.776
T00022,22-01-21,Outlet A,Headphones,198,179,35442,70000000,0,3,2410.056
T00022,22-01-21,Outlet A,Keyboard,228,899,204972,70000000,0,3,13938.096
T00022,22-01-21,Outlet A,Monitor,228,269,61332,70000000,0,3,4170.576
T00023,23-01-21,Outlet C,Mouse,181,599,108419,70000000,1,4,7372.492
T00023,23-01-21,Outlet C,Notebook 3,14,560,7840,70000000,1,4,533.12
T00023,23-01-21,Outlet C,Monitor,144,269,38736,70000000,1,4,2634.048
T00023,23-01-21,Outlet C,Notebook 3 Pro,136,720,97920,70000000,1,4,6658.56
T00024,24-01-21,Outlet B,Keyboard,180,899,161820,70000000,1,3,11003.76
